Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy,Condition
1,1,2,5.05,0.679,1.173,0.6,0,MM
1,2,2,6,0.512,1.559,0.62,1,MM
1,1,1,4.7,0.863,1.423,0.6,1,MM
1,1,2,3.5,0.945,0.539,0.62,0,MM
1,1,1,6,0.546,1.172,0.64,1,MM
1,1,1,6,0.613,1.424,0.62,1,MM
1,1,2,2.85,0.713,1.458,0.64,0,MM
1,1,1,3.5,0.679,0.352,0.66,1,MM
1,1,1,6,0.762,1.036,0.64,1,MM
1,2,1,2.5,0.495,1.741,0.66,0,MM
1,1,2,6,0.363,0.82,0.68,0,MM
1,1,2,5.95,0.529,2.058,0.7,0,MM
1,1,1,6,0.729,2.111,0.72,1,MM
1,2,2,6,0.563,1.273,0.7,1,MM
1,2,2,6,0.445,1.492,0.68,1,MM
1,1,1,6,0.73,1.285,0.66,1,MM
1,1,2,6,0.695,1.659,0.68,0,MM
1,2,2,6,0.646,1.422,0.7,1,MM
1,1,2,6,0.562,1.341,0.72,0,MM
1,2,2,6,0.496,1.186,0.74,1,MM
1,1,1,4.35,0.796,0.818,0.72,1,MM
1,2,2,6,0.547,1.535,0.7,1,MM
1,1,1,6,0.63,1.321,0.68,1,MM
1,2,2,6,0.597,1.256,0.66,1,MM
1,1,1,6,0.63,1.624,0.64,1,MM
1,2,2,6,0.395,1.741,0.62,1,MM
1,2,2,6,0.262,1.41,0.6,1,MM
1,1,2,6,0.311,1.576,0.62,0,MM
1,2,2,6,0.379,1.324,0.64,1,MM
1,1,2,6,0.345,1.425,0.66,0,MM
1,1,2,6,0.496,1.473,0.68,0,MM
1,2,2,6,0.528,1.892,0.7,1,MM
1,1,1,6,0.529,1.07,0.68,1,MM
1,1,1,6,0.428,1.292,0.66,1,MM
1,2,2,6,0.312,1.441,0.64,1,MM
1,1,2,6,0.296,1.374,0.66,0,MM
1,2,2,6,0.296,1.856,0.68,1,MM
1,2,2,6,0.397,1.341,0.66,1,MM
