"","Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Task"
"183",1,1,1,2,1.3282306589972,1.05998379799712,14,"memory"
"184",1,1,1,4,0.447234751998622,0.224359148996882,14,"memory"
"185",1,1,2,2,1.9277538729948,1.13961289099825,14,"memory"
"186",1,1,1,4,0.569852583001193,0.336504682993109,14,"memory"
"187",1,1,1,3,0.511338737000187,1.84161465299985,20,"visual"
"188",1,1,2,4,0.702632080006879,0.725399431998085,25,"visual"
"189",1,2,1,2,1.61229442499462,0.790473237997503,30,"visual"
"190",1,2,1,1,1.13866762300313,0.684319685999071,35,"visual"
"191",1,1,1,3,0.757659427996259,0.926428699996904,35,"visual"
"192",1,1,2,2,1.54178893999779,0.788390130997868,40,"visual"
"193",1,1,1,3,0.80674150899722,1.16068856100173,40,"visual"
"194",1,1,1,4,1.88039109199599,1.05740666599741,35,"visual"
"195",1,1,2,3,1.86253600000055,1.83475247499882,40,"visual"
"196",1,2,2,3,1.32846721399983,1.76755305800179,40,"visual"
"197",1,1,1,4,0.526148584998737,1.31921191400033,35,"visual"
"198",1,1,1,2,0.569146432004345,1.22440544100391,35,"visual"
"199",1,2,1,1,0.639052407997951,1.62721922399942,40,"visual"
"200",1,2,1,1,1.69254080599785,0.849113560994738,45,"visual"
"201",1,1,1,3,0.521611795003992,1.51364079699852,45,"visual"
"202",1,2,2,2,1.67600108800252,1.05126373100211,40,"visual"
"203",1,1,1,1,1.41911318399798,1.01685586800158,40,"visual"
"204",1,2,2,3,0.729736544999469,1.0342370110011,35,"visual"
"205",1,2,2,4,0.976217807001376,1.53967371400358,35,"visual"
"206",1,2,2,3,1.20538494899665,1.11046092700417,30,"visual"
"207",1,1,1,2,1.11603905399534,0.327270120993489,30,"visual"
"208",1,2,2,3,0.920000694997725,0.795182563000708,25,"visual"
"209",1,2,1,1,2.99642779800342,0.600598719000118,30,"visual"
"210",1,2,2,1,1.66317562200129,0.970787632999418,30,"visual"
"211",1,1,1,2,1.16716240300593,1.22507221999695,25,"visual"
"212",1,2,1,2,2.06472374399891,1.13782197600085,30,"visual"
"213",1,1,1,3,1.34660494899435,0.430533204998937,30,"visual"
"214",1,1,2,4,0.804655883002852,0.934110066002177,35,"visual"
"215",1,2,2,3,1.516629851998,1.50932396999997,35,"visual"
"216",1,1,1,4,1.10647113400046,0.341022593995149,30,"visual"
"217",1,2,2,3,0.772963327006437,0.730711151001742,30,"visual"
"218",1,1,1,2,1.85254880000139,0.471177232997434,25,"visual"
"219",1,1,2,3,1.1424788919976,0.849927984003443,30,"visual"
"220",1,1,1,2,0.71369051199872,1.35849862200121,30,"visual"
"221",1,2,1,1,1.44638634799776,0.489645159999782,35,"visual"
"222",1,1,2,1,1.31729502900271,0.835433052998269,40,"visual"
"223",1,2,1,3,1.24134819099709,1.15356530099962,45,"visual"
"224",1,2,1,2,1.94329327899322,1.43504388500151,50,"visual"
"225",1,1,1,4,0.682093606999842,0.640854971999943,50,"visual"
"226",1,2,2,4,0.878022782002517,0.573813144001178,45,"visual"
"227",1,1,1,4,0.477603567996994,0.633344740999746,45,"visual"
"228",1,1,1,3,0.669460112003435,1.07529452999734,40,"visual"
"229",1,1,1,3,1.61139404200367,0.809248944999126,40,"visual"
"230",1,2,2,4,0.733227861004707,1.35176739899907,35,"visual"
"231",1,1,1,4,0.611600336000265,1.05039800300437,35,"visual"
"232",1,2,2,4,0.646142199002497,0.895976453000912,30,"visual"
"233",1,1,1,1,1.9739316310006,0.578701362996071,30,"visual"
"234",1,1,1,2,1.28166978700028,0.778180940003949,25,"visual"
"235",1,2,1,1,1.38955308300501,0.758670057002746,30,"visual"
"236",1,1,1,2,1.75889223800186,1.3160892800006,30,"visual"
"237",1,1,1,1,0.706383741002355,1.14650689499831,25,"visual"
"238",1,1,1,3,1.00034563699592,0.676425305995508,25,"visual"
"239",1,1,2,1,1.72945005699876,0.801749215999735,30,"visual"
"240",1,2,1,3,1.3832415249999,0.430180798000947,35,"visual"
"241",1,1,1,4,0.806794812997396,0.30634136700246,35,"visual"
"242",1,2,2,4,0.616250103004859,0.404637604995514,30,"visual"
"243",1,1,1,3,0.828763240999251,0.815646930001094,30,"visual"
"244",1,1,1,2,1.063426212997,0.719467851995432,25,"visual"
"245",1,2,2,3,0.871785114999511,0.975122858995746,25,"visual"
"246",1,1,1,3,0.710539751002216,1.02905520899367,20,"visual"
"247",1,2,2,3,0.591078650002601,1.32824844200513,20,"visual"
"248",1,1,1,1,1.5685139299967,0.610424170998158,15,"visual"
"249",1,2,2,2,0.582298110006377,1.01797064200218,15,"visual"
"250",1,2,1,1,1.3980286799997,1.23314460099937,20,"visual"
"251",1,2,2,2,1.89560904600512,0.710682201002783,20,"visual"
"252",1,2,2,2,1.59380403500109,0.964201538001362,15,"visual"
"253",1,1,1,3,0.938676612000563,1.38328454099974,15,"visual"
"254",1,1,2,3,1.30602498699591,0.867515523998009,20,"visual"
"255",1,1,2,3,1.32962417200179,1.29968147600448,25,"visual"
"256",1,1,1,4,0.653628763000597,0.411040177998075,25,"visual"
"257",1,2,2,4,0.575758848004625,0.76315656999941,20,"visual"
"258",1,1,1,3,0.736306853999849,1.04904567899939,20,"visual"
"259",1,2,2,2,1.80323484299879,0.676541684995755,15,"visual"
"260",1,1,1,1,1.70805486600148,0.621312580995436,15,"visual"
"261",1,1,1,1,1.61371394700109,1.05105180999817,10,"visual"
"262",1,2,1,2,2.23754436599847,1.29818277499726,15,"visual"
"263",1,2,2,2,0.809141411002201,1.11338480900304,15,"visual"
"264",1,1,1,3,0.968132515001344,0.535172777999833,10,"visual"
"265",1,2,2,2,0.844241086997499,0.679680884997651,10,"visual"
"266",1,2,2,3,1.67927649500052,1.22808172400255,5,"visual"
