Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
2,1,2,1,3.123870718,0.513110764,3,Congruent,N
2,1,1,2,4.45633171,0.776760707,2,Incongruent,N
2,1,1,4,4.492506465,0.522737837,3,Congruent,N
2,2,2,3,4.229571598,0.73150329,2,Incongruent,N
2,1,1,4,4.739244825,2.164751112,2,Incongruent,N
2,2,1,2,4.785332191,2.361701185,2,Congruent,N
2,2,2,4,3.725104523,0.480929033,3,Congruent,N
2,1,1,4,2.84085627,1.001025641,3,Congruent,N
2,2,1,3,3.464614373,0.875271026,2,Incongruent,N
2,2,1,3,3.714956835,0.949009662,1,Incongruent,N
2,2,2,2,3.059146232,0.470019499,1,Congruent,N
2,1,2,3,5.062941513,1.097598319,1,Congruent,N
2,1,1,4,2.840269604,0.309896078,3,Incongruent,N
2,2,1,1,4.789119676,0.532362038,1,Incongruent,N
2,2,1,2,5.478661957,1.248639898,2,Incongruent,N
2,2,2,4,4.411249883,1.15722291,3,Congruent,N
2,2,2,3,4.005806357,0.718434987,2,Incongruent,N
2,1,2,3,4.825774841,1.174961569,2,Incongruent,N
2,2,2,4,4.760857534,0.552209825,3,Congruent,N
2,2,2,4,3.327923968,1.837166836,1,Incongruent,N
2,2,2,4,3.204883608,0.986091083,2,Incongruent,N
2,1,2,1,4.767171788,0.897338299,1,Congruent,N
2,1,1,4,2.192417972,0.827749814,3,Incongruent,N
2,1,1,3,4.596880165,0.464582784,2,Incongruent,N
2,2,2,3,3.543041008,0.691474998,3,Incongruent,N
2,2,2,4,2.207830479,0.808040694,3,Incongruent,N
2,2,2,4,5.190272332,1.150425374,2,Incongruent,N
2,2,2,4,3.517879582,0.905815013,1,Congruent,N
2,2,2,3,3.397020145,0.631116869,3,Incongruent,N
2,2,2,4,3.274854451,0.975000626,2,Congruent,N
2,1,2,3,2.831614428,0.642969582,1,Incongruent,N
2,2,2,4,2.998544411,0.855589393,2,Congruent,N
2,1,1,4,2.980206367,1.052973106,2,Congruent,N
2,2,1,4,5.041213932,0.683382284,1,Congruent,N
2,2,2,4,2.90299163,1.075000995,1,Incongruent,N
2,1,2,2,4.299889928,0.447594893,1,Incongruent,N
2,1,1,4,2.713794579,0.917334188,3,Congruent,N
2,2,2,4,5.07139115,0.810037411,1,Incongruent,N
2,1,1,2,4.144706402,1.242955798,1,Congruent,N
2,1,2,3,5.075490841,1.152811424,1,Incongruent,N
2,2,2,4,2.694924023,1.211563811,1,Congruent,N
2,1,1,3,4.769047069,1.294503264,3,Congruent,N
2,1,1,4,4.183124438,0.341182219,3,Congruent,N
2,1,2,2,4.020979273,0.764356199,3,Congruent,N
2,1,1,NaN,4.795555366,NaN,2,Congruent,N
2,2,2,4,3.408096243,0.758872714,2,Congruent,N
2,2,1,2,3.720487499,0.512925328,3,Incongruent,N
2,1,1,1,4.36201298,0.405258911,1,Congruent,N
2,1,1,3,3.701647302,1.419756956,2,Congruent,N
2,2,2,4,4.131179844,0.883757586,3,Incongruent,N
2,1,1,4,3.607725289,0.986676518,3,Incongruent,N
2,1,1,4,3.647888965,1.147297991,1,Congruent,N
2,1,2,3,3.995451489,0.983911801,2,Congruent,N
2,2,2,4,2.746687283,1.228696522,2,Congruent,N
2,2,2,4,3.665861881,0.781904089,3,Incongruent,N
2,1,2,1,3.627284666,0.344458115,1,Incongruent,N
2,1,1,4,1.684242591,0.797895057,3,Incongruent,N
2,1,1,3,3.403885783,1.88400415,2,Congruent,N
2,1,2,4,4.216034373,0.801968902,2,Incongruent,N
2,2,2,2,5.373502206,0.740856722,2,Congruent,N
2,1,1,NaN,2.849538523,NaN,3,Incongruent,N
2,2,2,4,2.615099235,0.94585233,3,Congruent,N
2,1,1,4,2.125627436,0.75843415,2,Congruent,N
2,2,2,4,4.373281078,0.510540508,1,Congruent,N
2,1,2,4,6.039156087,1.256131587,2,Congruent,N
2,2,2,4,4.775022862,0.458597145,3,Incongruent,N
2,2,1,4,3.914627727,1.062704385,1,Incongruent,N
2,1,1,4,2.573440996,0.771533222,2,Congruent,N
2,2,2,2,3.857580366,0.955658685,2,Incongruent,N
2,1,2,2,2.984908724,0.956649043,1,Incongruent,N
