Subject,VP_scores,VP_rates,VP_dprime,VP_metad,VP_criterion,VP_mratio,VP_mdiff,SM_scores,SM_rates,SM_dprime,SM_metad,SM_criterion,SM_mratio,SM_mdiff,EM_scores,EM_rates,EM_dprime,EM_metad,EM_criterion,EM_mratio,EM_mdiff,EF_scores,EF_rates,EF_dprime,EF_metad,EF_criterion,EF_mratio,EF_mdiff
106,"(10, 11, 3, 16)","(0.47619047619047616, 0.15789473684210525)",0.8775896167151059,0.2668722930366828,0.5314325337239283,0.3040969126727011,-0.6107173236784231,"(15, 8, 6, 11)","(0.6521739130434783, 0.35294117647058826)",0.7295858280372538,0.6661356991692392,-0.0069021571804589454,0.9130326735667147,-0.0634501288680146,"(25, 2, 2, 11)","(0.9259259259259259, 0.15384615384615385)",2.265989610545018,3.657292821231811,-0.21301368006598687,1.6139936406646433,1.391303210686793,"(21, 1, 3, 15)","(0.9545454545454546, 0.16666666666666666)",2.411824493734915,3.67400404302846,-0.36160003174159877,1.523329766561477,1.262179549293545
107,"(13, 5, 3, 19)","(0.7222222222222222, 0.13636363636363635)",1.5820772156176528,-0.7630395912480725,0.2536738821218676,-0.4823023703999031,-2.3451168068657253,"(19, 3, 7, 11)","(0.8636363636363636, 0.3888888888888889)",1.2941483983199524,1.4479940549238135,-0.40729370751550265,1.1188779098313466,0.15384565660386107,"(17, 0, 2, 21)","(0.9705882352941176, 0.08695652173913043)",3.1726673861186545,4.784175487776134,-0.2648862881974119,1.5079347771242262,1.61150810165748,"(20, 1, 0, 19)","(0.9523809523809523, 0.02631578947368421)",3.4494340268679946,1.7828588410293873,0.13477015845287488,0.516855468793581,-1.6665751858386073
108,"(13, 6, 7, 14)","(0.6842105263157895, 0.3333333333333333)",0.8637455123572156,0.7206277074067695,-0.024389177017746316,0.8343055878115434,-0.14311780495044613,"(18, 2, 3, 17)","(0.9, 0.15)",2.147182683713563,1.3896377760919758,-0.12255908802540527,0.647191217883981,-0.7575449076215872,"(15, 0, 1, 24)","(0.9666666666666667, 0.04)",3.4371768326386962,2.2822808485703097,-0.04161428228187236,0.6639986709145305,-1.1548959840683866,"(19, 1, 0, 20)","(0.95, 0.025)",3.445986189332802,1.2288461493044764,0.15755517879429115,0.3566021689548329,-2.217140040028325
109,"(9, 5, 9, 17)","(0.6428571428571429, 0.34615384615384615)",0.7210204688514275,0.157525880097279,0.014809469506958745,0.21847629422811654,-0.5634945887541485,,,,,,,,"(17, 9, 6, 8)","(0.6538461538461539, 0.42857142857142855)",0.548219646551736,1.2876852558273266,-0.1078564630108911,2.348849159140462,0.7394656092755906,"(20, 2, 6, 12)","(0.9090909090909091, 0.3333333333333333)",1.6402188138400544,0.40604363008147637,-0.45222521841173935,0.24755454982914957,-1.2341751837585782
110,"(19, 4, 3, 14)","(0.8260869565217391, 0.17647058823529413)",1.748780679193048,0.04758623951950102,-0.004957412614816248,0.027211096328819843,-1.701194439673547,"(15, 6, 7, 12)","(0.7142857142857143, 0.3684210526315789)",0.8561584701671487,0.48797442472979635,-0.11495534078051997,0.5699580646962805,-0.3681840454373524,"(8, 3, 9, 20)","(0.7272727272727273, 0.3103448275862069)",1.025562711187542,0.614882833886674,-0.05485609150730669,0.5995565431339399,-0.4106798773008681,"(16, 0, 1, 23)","(0.96875, 0.041666666666666664)",3.4442835549302844,2.3919800114831395,-0.06553373564970322,0.6944782487664711,-1.0523035434471448
111,"(11, 6, 8, 15)","(0.6470588235294118, 0.34782608695652173)",0.7295858280372551,0.45617928912303063,0.00690215718045889,0.6252578813794291,-0.2734065389142245,"(15, 6, 5, 14)","(0.7142857142857143, 0.2631578947368421)",1.1352792322452512,0.6217887881016813,0.033845589423418976,0.5476967872229676,-0.5134904441435699,"(16, 6, 6, 12)","(0.7272727272727273, 0.3333333333333333)",0.9818335331498023,2.3411111874373494,-0.0869290236438898,2.3844278163192016,1.359277654287547,"(16, 6, 10, 8)","(0.7272727272727273, 0.5555555555555556)",0.4427964290022677,1.6308082669267507,-0.37214782273254965,3.682975200593587,1.188011837924483
112,"(14, 10, 4, 12)","(0.5833333333333334, 0.25)",0.8307976967740406,0.5746131434746072,0.23203067797407845,0.6916402701955129,-0.25618455329943335,"(12, 9, 6, 13)","(0.5714285714285714, 0.3157894736842105)",0.6255092798073913,-0.08427297812335287,0.1497466417691226,-0.13472698302621897,-0.7097822579307442,"(21, 2, 1, 16)","(0.9130434782608695, 0.058823529411764705)",2.6411556881637352,2.3918339063482934,0.10249454371159661,0.9056012551881094,-0.24932178181544185,"(23, 2, 1, 14)","(0.92, 0.06666666666666667)",2.621793569407023,2.7652089826328927,0.048007192867196014,1.05470126057953,0.1434154132258696
113,"(14, 6, 9, 11)","(0.7, 0.45)",0.6168486837213955,0.07769736329688727,-0.19936958292648332,0.1259585459891812,-0.5391513204245082,"(11, 8, 7, 14)","(0.5789473684210527, 0.3333333333333333)",0.5991017484601296,1.2202213910474802,0.11576298725309528,2.0367515103800207,0.6211196425873505,"(14, 9, 6, 11)","(0.6086956521739131, 0.35294117647058826)",0.6196373946654539,1.1756446397434055,0.050735440360296896,1.897310668892318,0.5560072450779516,"(12, 3, 6, 19)","(0.8, 0.24)",1.4509115113440094,2.1340220408754296,-0.06765933536641344,1.4708147424501723,0.6831105295314202
114,"(16, 6, 6, 12)","(0.7272727272727273, 0.3333333333333333)",0.9818335331498009,-0.6332964026318402,-0.0869290236438898,-0.6450140286003213,-1.615129935781641,"(21, 2, 3, 14)","(0.9130434782608695, 0.17647058823529413)",2.119795681237269,0.9647072152648183,-0.21541894614566742,0.45509443377191144,-1.155088465972451,"(11, 5, 2, 22)","(0.6875, 0.08333333333333333)",1.7394034965570961,1.6084335627506685,0.4471088579929843,0.9247041103081234,-0.13096993380642763,"(18, 3, 1, 18)","(0.8571428571428571, 0.05263157894736842)",2.4377326430913424,2.794861844656872,0.2761428673800643,1.1465005617320883,0.35712920156552963
115,"(15, 4, 6, 15)","(0.7894736842105263, 0.2857142857142857)",1.2929341325632424,0.9578017717445517,-0.11932377921371856,0.7407970349160087,-0.3351323608186907,"(13, 5, 10, 12)","(0.7222222222222222, 0.45454545454545453)",0.6641234243940848,0.3139505383747655,-0.23763525176417497,0.4727292049082583,-0.3501728860193193,"(20, 2, 2, 16)","(0.9090909090909091, 0.1111111111111111)",2.3524529430312535,1.964085537238201,-0.05726869363579312,0.8349095964093455,-0.3883674057930526,"(18, 2, 3, 17)","(0.9, 0.15)",2.1471826837135644,2.4159724552223367,-0.12255908802540527,1.1251825350248723,0.26878977150877237
