,Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,visual_scores,visual_rates,visual_dprime,visual_metad,visual_criterion,visual_mratio,visual_mdiff,motor_scores,motor_rates,motor_dprime,motor_metad,motor_criterion,motor_mratio,motor_mdiff,visuomotor_scores,visuomotor_rates,visuomotor_dprime,visuomotor_metad,visuomotor_criterion,visuomotor_mratio,visuomotor_mdiff,memory_mratio_log,visual_mratio_log,visuomotor_mratio_log,motor_mratio_log,DGI_memory_visual,DGI_memory_visuomotor,DGI_memory_motor,DGI_visual_visuomotor,DGI_visual_motor,DGI_visuomotor_motor
20,21,"(66, 28, 27, 60)","(0.7021276595744681, 0.3103448275862069)",1.0131769238227102,1.2925586707675374,-0.0178282983102212,1.27574823347804,0.2793817469448272,"(73, 18, 33, 56)","(0.8021978021978022, 0.3707865168539326)",1.163718485550275,0.8027972886526136,-0.2598633838694216,0.6898552344238166,-0.3609211968976611,"(68, 23, 30, 71)","(0.7472527472527473, 0.297029702970297)",1.184706608852289,0.9224658379579534,-0.0664534127333755,0.7786449666653019,-0.2622407708943356,"(77, 24, 26, 65)","(0.7623762376237624, 0.2857142857142857)",1.2647815202671402,0.9289395836547116,-0.0740091381325574,0.734466442440198,-0.3358419366124285,0.24353285626809063,-0.3712735085858928,-0.30861097203588095,-0.2502000922428908,0.6148063648539834,0.5521438283039716,0.49373294851098143,0.06266253655001186,0.121073416343002,0.058410879792990145
21,22,"(53, 28, 37, 64)","(0.654320987654321, 0.36633663366336633)",0.7300053957479995,1.0249309454992437,-0.0277205676164554,1.4040046162248554,0.2949255497512442,"(60, 21, 30, 69)","(0.7407407407407407, 0.30303030303030304)",1.1466660610885349,0.2523653756237557,-0.0649629777914717,0.220086199624836,-0.8943006854647791,"(65, 31, 29, 66)","(0.6770833333333334, 0.30526315789473685)",0.9580202929594166,0.1389047542169927,0.0248820354646287,0.1449914529345747,-0.8191155387424238,"(67, 28, 33, 64)","(0.7052631578947368, 0.3402061855670103)",0.9408652089586363,-0.2779326415359286,-0.0638492050826826,-0.2954011253573173,-1.2187978504945651,0.3393285935076554,-1.5137359928932792,,-1.9310804835776991,1.8530645864009345,,2.2704090770853544,,0.4173444906844199,
22,23,"(69, 24, 25, 73)","(0.7419354838709677, 0.25510204081632654)",1.2922161181625618,1.2516056850738977,0.0045980186809355,0.968573033165374,-0.040610433088664,"(36, 46, 6, 92)","(0.43902439024390244, 0.061224489795918366)",1.3573636819734105,1.4952185056866028,0.8490093421932947,1.101560713273816,0.1378548237131924,"(65, 38, 29, 60)","(0.6310679611650486, 0.3258426966292135)",0.7774017741294612,0.935331828461938,0.0583694269079845,1.20315113701577,0.1579300543324768,"(62, 27, 32, 70)","(0.6966292134831461, 0.3137254901960784)",0.988712286762062,1.0467170048884151,-0.014706230456498,1.058666933649943,0.0580047181263532,-0.03193139044396571,0.09672800446467159,0.05701050690498113,0.18494406253089113,0.1286593949086373,0.08894189734894684,0.21687545297485683,0.03971749755969046,0.08821605806621954,0.12793355562591
23,24,"(64, 32, 27, 59)","(0.6666666666666666, 0.313953488372093)",0.9046617704672136,1.8076088780580823,0.0269737983636619,1.998104636525694,0.902947107590869,"(68, 14, 38, 60)","(0.8292682926829268, 0.3877551020408163)",1.217974555204839,0.9878687667967728,-0.3330514451919812,0.8110750446922373,-0.2301057884080664,"(68, 32, 19, 73)","(0.68, 0.20652173913043478)",1.270262052297352,0.2150448026603428,0.1754253601207417,0.169291684555498,-1.0552172496370091,"(72, 20, 30, 70)","(0.782608695652174, 0.3)",1.2894551361699924,0.0625902628943969,-0.1283166494073339,0.0485400857608011,-1.2268648732755956,0.6921990494885485,-0.20939469561841784,-3.025365311878463,-1.7761321076736556,0.9015937451069663,3.7175643613670113,2.468331157162204,2.815970616260045,1.5667374120552378,1.2492332042048073
24,25,"(70, 18, 30, 76)","(0.7954545454545454, 0.2830188679245283)",1.381764823745601,1.5604971674955914,-0.1257989172905242,1.129350769883904,0.1787323437499903,"(66, 27, 24, 63)","(0.7096774193548387, 0.27586206896551724)",1.1335152883085706,1.539580264519318,0.0213679743432516,1.3582351119557257,0.4060649762107473,"(69, 26, 29, 68)","(0.7263157894736842, 0.29896907216494845)",1.1161091658840605,1.4529001045900631,-0.0371701372581214,1.301754477967425,0.3367909387060028,"(75, 22, 31, 64)","(0.7731958762886598, 0.3263157894736842)",1.1852882409071674,1.2712653018034543,-0.1496518721750164,1.0725368378163307,0.0859770608962871,0.12164292768719237,0.3061861451935629,0.07002671884446354,0.2637129530145668,0.18454321750637054,0.05161620884272883,0.14207002532737445,0.23615942634909937,0.04247319217899609,0.19368623417010328
25,26,"(64, 28, 31, 57)","(0.6956521739130435, 0.3522727272727273)",0.8806584242077627,1.3644649097000718,-0.0663722164938245,1.5493690541001066,0.4838064854923091,"(85, 12, 34, 49)","(0.8762886597938144, 0.40963855421686746)",1.3637521193214903,1.1158865233451654,-0.4640786526308846,0.8182473248146841,-0.2478655959763249,"(74, 27, 31, 60)","(0.7326732673267327, 0.34065934065934067)",1.0199450065166362,0.2449294810081027,-0.1051269169529318,0.2401398893501105,-0.7750155255085335,"(61, 30, 27, 74)","(0.6703296703296703, 0.26732673267326734)",1.049714515876956,0.1577671371293335,0.0900472521905558,0.1502952800433851,-0.8919473787476223,0.4378477861880828,-0.20059063500468344,-1.8951533862866026,-1.4265336531520936,0.6384384211927663,2.3330011724746855,1.8643814393401763,1.6945627512819192,1.2259430181474102,0.468619733134509
26,27,"(80, 28, 28, 55)","(0.7407407407407407, 0.3373493975903614)",1.0532398712403643,1.635501712679154,-0.1129613849071021,1.5528292816650398,0.5822618414387897,"(61, 25, 28, 66)","(0.7093023255813954, 0.2978723404255319)",1.068741427643651,0.2719284430739949,-0.0104089674657358,0.2544380109541927,-0.7968129845696563,"(70, 27, 31, 64)","(0.7216494845360825, 0.3263157894736842)",1.0261202113469463,0.1036928692004489,-0.0688196272574643,0.1010533347397334,-0.9224273421464974,"(66, 29, 27, 70)","(0.6947368421052632, 0.27835051546391754)",1.0845655806719328,0.2418992970276533,0.0392131538444983,0.2230379622390255,-0.8426662836442794,0.4400786100268083,-1.368698044549233,-1.500413287754505,-2.2921068347890143,1.8087766545760413,1.9404918977813135,2.7321854448158227,0.13171524320527217,0.9234087902397814,0.7916935470345092
27,28,"(66, 23, 32, 62)","(0.7415730337078652, 0.3404255319148936)",1.046647925533258,1.6596901088286389,-0.1184502637804511,1.585719579946658,0.6130421832953807,"(56, 25, 27, 72)","(0.691358024691358, 0.2727272727272727)",1.0908469795604514,0.3144539508743302,0.0524409821877267,0.2882658675014502,-0.7763930286861211,"(69, 35, 21, 67)","(0.6634615384615384, 0.23863636363636365)",1.1189186861230138,0.6671795705862336,0.1443834843533159,0.5962717209576424,-0.4517391155367802,"(60, 28, 29, 75)","(0.6818181818181818, 0.27884615384615385)",1.0470851167614303,1.0433061580912202,0.0567417642051888,0.9963909727970366,-0.0037789586702101,0.46103829796250123,-1.243872073641359,-0.0036155554534614224,-0.5170588081640514,1.7049103716038603,0.46465385341596266,0.9780971061265527,1.2402565181878977,0.7268132654773077,0.51344325271059
28,29,"(65, 26, 24, 69)","(0.7142857142857143, 0.25806451612903225)",1.2004883631818384,1.5080592927303518,0.0416875456268013,1.2562048404478583,0.3075709295485134,,,,,,,,"(71, 26, 30, 65)","(0.7319587628865979, 0.3157894736842105)",1.0856957470142552,0.1621962631494809,-0.069621104379878,0.1493938459237155,-0.9234994838647744,"(71, 24, 32, 65)","(0.7473684210526316, 0.32989690721649484)",1.0935984155364258,0.9766579282456852,-0.1130168106781192,0.8930681632037848,-0.1169404872907405,0.22809514427690517,,-0.11309237044332122,-1.9011691990748334,,0.3411875147202264,2.1292643433517386,,,1.788076828631512
29,30,"(56, 25, 35, 64)","(0.691358024691358, 0.35353535353535354)",0.8649429429030477,2.094990488923282,-0.0619551338412019,2.422114089851718,1.2300475460202345,"(65, 45, 5, 65)","(0.5909090909090909, 0.07142857142857142)",1.650109816474417,1.0347615483650048,0.6176748375531455,0.6270864751146382,-0.6153482681094122,"(65, 28, 26, 72)","(0.6989247311827957, 0.2653061224489796)",1.1350979252750075,1.2125619874918832,0.0528806297275311,1.0682443871070486,0.0774640622168754,"(70, 28, 26, 68)","(0.7142857142857143, 0.2765957446808511)",1.145563670517867,1.2987395897797256,0.0135178660243843,1.1337122703905351,0.1531759192618589,0.8846407496580123,-0.46667082901602247,0.1254974432963621,0.066016541240385,1.3513115786740348,0.7591433063616502,0.8186242084176273,0.5921682723123846,0.5326873702564074,0.059480902055977086
30,31,"(56, 32, 22, 75)","(0.6363636363636364, 0.2268041237113402)",1.0848688920363432,1.5613089738997148,0.2003287107350982,1.4391683505359565,0.4764400818633716,"(47, 39, 13, 81)","(0.5465116279069767, 0.13829787234042554)",1.1864121926739586,1.82655890768123,0.4855729050097115,1.5395651856581958,0.6401467150072715,"(66, 25, 31, 70)","(0.7252747252747253, 0.3069306930693069)",1.0904454541704154,-0.5902038951970401,-0.0470071907400886,-0.5412502688142737,-1.6806493493674557,"(70, 31, 24, 67)","(0.693069306930693, 0.26373626373626374)",1.1232166050585075,-0.4919122017851235,0.0636498213848271,-0.437949545590541,-1.615128806843631,0.3640654124006771,0.4315000295829286,,,0.06743461718225152,,,,,
31,32,"(76, 17, 17, 81)","(0.8172043010752689, 0.17346938775510204)",1.8198516504218776,2.7736692095101314,0.017890736087087,1.5241183031963843,0.9538175590882538,"(39, 38, 14, 89)","(0.5064935064935064, 0.13592233009708737)",1.0989838201390767,0.92882171471504,0.541273445084854,0.8451641395389219,-0.1701621054240366,,,,,,,,,,,,,,,0.42141608102093386,-0.16822442251360284,,,0.5896405035345367,,,,,
32,34,"(58, 24, 38, 60)","(0.7073170731707317, 0.3877551020408163)",0.8205284692319417,1.0271359730803438,-0.1301944567387331,1.2517980930531245,0.2066075038484021,"(66, 19, 27, 68)","(0.7764705882352941, 0.28421052631578947)",1.3133732732287282,1.9114791256449837,-0.0949745527225978,1.455396698416059,0.5981058524162552,"(64, 26, 25, 77)","(0.7111111111111111, 0.24509803921568626)",1.2320044102942869,0.147141271202963,0.0666816858957859,0.1194324224600914,-1.0848631390913237,"(69, 33, 22, 68)","(0.6764705882352942, 0.24444444444444444)",1.1362483121842728,1.0230792769119013,0.117112602800759,0.9004011411424493,-0.1131690352723715,0.2245809921434473,0.37527850842206384,-0.10491490257758501,-2.1250045699933886,0.15069751627861655,0.3294958947210323,2.349585562136836,0.48019341099964885,2.5002830784154524,2.0200896674158035
33,35,"(61, 27, 23, 76)","(0.6931818181818182, 0.23232323232323232)",1.2211978098081773,1.9063283597906264,0.1131638145595577,1.5610315908526466,0.6851305499824494,"(81, 7, 44, 48)","(0.9204545454545454, 0.4782608695652174)",1.4308445412511308,1.250580188546572,-0.6768083631499937,0.8740154171137727,-0.1802643527045588,"(52, 39, 36, 65)","(0.5714285714285714, 0.3564356435643564)",0.5422647813120008,0.9547744672200372,0.0939951207233133,1.7607163513551,0.4125096859080364,"(74, 27, 36, 55)","(0.7326732673267327, 0.3956043956043956)",0.8757960561203022,0.3946655215172087,-0.1780884556144338,0.4506363310946403,-0.4811305346030934,0.44534687890228275,-0.13465726376390416,-0.7970946259727579,0.5657207440561762,0.5800041426661869,1.2424415048750408,0.12037386515389348,0.6624373622088537,0.7003780078200804,1.362815370028934
