,Subject,VP_dprime,VP_criterion,VP_metad,VP_mratio,VP_log_mratio,SM_dprime,SM_criterion,SM_metad,SM_mratio,SM_log_mratio,EM_dprime,EM_criterion,EM_metad,EM_mratio,EM_log_mratio,EF_dprime,EF_criterion,EF_metad,EF_mratio,EF_log_mratio,DGI_VP_EF,DGI_VP_SM,DGI_VP_EM,DGI_EF_SM,DGI_EF_EM,DGI_SM_EM
22,23,0.562,-0.05,0.337,0.827,-0.632,1.918,0.036,2.471,1.376,0.237,1.373,0.146,1.006,0.805,-0.425,3.718,-0.308,2.247,0.628,-0.597,0.03500000000000003,0.869,0.20700000000000002,0.834,0.172,0.6619999999999999
23,24,1.489,0.022,0.938,0.681,-0.597,0.792,0.153,0.671,1.044,-0.29,1.014,-0.043,1.687,1.944,0.508,5.027,0.733,2.382,0.542,-0.812,0.21500000000000008,0.307,1.105,0.522,1.32,0.798
24,25,0.951,-0.04,0.932,1.145,-0.123,1.781,-0.311,0.997,0.599,-0.712,2.739,0.147,5.481,2.288,0.684,4.228,0.029,9.704,2.346,0.842,0.965,0.589,0.807,1.5539999999999998,0.15799999999999992,1.396
25,26,0.885,0.436,0.855,1.158,-0.128,1.745,0.098,1.877,1.149,0.023,3.058,-0.053,4.862,1.66,0.458,3.497,-0.156,2.845,0.844,-0.256,0.128,0.151,0.5860000000000001,0.279,0.714,0.435
26,27,1.172,0.168,1.062,1.013,-0.227,1.087,-0.074,1.758,1.834,0.431,5.798,-2.006,3.358,0.8,-0.432,2.622,0.045,2.399,0.954,-0.131,0.096,0.658,0.205,0.562,0.301,0.863
27,28,0.828,0.157,1.238,1.828,0.361,0.716,0.067,1.2,2.023,0.458,2.138,-0.083,3.269,1.62,0.424,2.351,0.066,2.428,1.084,-0.0,0.361,0.09700000000000003,0.063,0.458,0.424,0.03400000000000003
28,29,1.041,0.348,0.726,0.813,-0.492,1.512,0.003,1.076,0.762,-0.466,0.324,-0.137,0.324,1.213,-0.211,2.779,0.532,6.833,2.532,0.914,1.4060000000000001,0.025999999999999968,0.281,1.3800000000000001,1.125,0.255
29,30,0.463,0.128,0.525,1.346,-0.021,1.42,0.101,0.709,0.544,-0.888,1.296,0.057,0.65,0.547,-0.846,2.6,-0.041,2.489,0.999,-0.077,0.055999999999999994,0.867,0.825,0.811,0.769,0.04200000000000004
30,31,0.72,-0.09,0.606,1.014,-0.313,0.858,-0.095,1.159,1.585,0.231,0.802,-0.028,0.45,0.7,-0.741,2.386,-0.059,2.501,1.096,0.002,0.315,0.544,0.428,0.229,0.743,0.972
31,32,0.829,-0.209,0.463,0.68,-0.721,0.202,0.057,0.154,1.064,-0.372,1.906,0.199,1.408,0.782,-0.397,2.663,-0.026,3.855,1.512,0.365,1.0859999999999999,0.349,0.32399999999999995,0.737,0.762,0.025000000000000022
